"Company Code","Data Source","SO Number","Record Index","Billing Number","Original Prepayment Request Number","Amount","Assigned Case","Assigned Scenario","OneToMany Number","ZFSN","Generated Prepayment Request Number","Processed","TransactionOrderNumbers"
"SAC1","LOCAL","1SA0000111","1","1SA5000176","4xG7Rn","1650","UnderDelivery-NoPrepayment","OneToMany","2","22, 184",", ","true","1SA0000123, 1SA0000124"
"SAC1","LOCAL","1SA0000111","2","1SA5000178","tSoXuP","789","OverDelivery-Happy","OneToMany","3","195, 227, 442","tSoXuP, tSoXuP, tSoXuP","true","1SA0000125, 1SA0000126, 1SA0000127"
"SAC1","LOCAL","1SA0000111","3","1SA5000180","mUYNXz","2175","UnderDelivery-NoPrepayment","OneToOne",,"685",,"true","1SA0000128"
"SAC1","LOCAL","1SA0000111","4","1SA5000182","2D5NCF","1765","OverDelivery-NoPrepayment","OneToOne",,"2753",,"true","1SA0000129"
"SAC1","LOCAL","1SA0000111","5","1SA5000184","5kUlZ8","1864","UnderDelivery-NoPrepayment","OneToMany","2","149, 1626",", ","true","1SA0000130, 1SA0000131"
"SAC1","LOCAL","1SA0000111","6","1SA5000186","bNZeGK","1769","OverDelivery-Happy","OneToMany","2","593, 1457","bNZeGK, bNZeGK","true","1SA0000132, 1SA0000133"
"SAC1","LOCAL","1SA0000111","7","1SA5000188","1S4Hhn","1152","OverDelivery-Happy","OneToMany","2","262, 916","1S4Hhn, 1S4Hhn","true","1SA0000134, 1SA0000135"
"SAC1","LOCAL","1SA0000111","8","1SA5000190","3P5Y9b","2052","UnderDelivery-Happy","OneToMany","2","181, 286","3P5Y9b, 3P5Y9b","true","1SA0000136, 1SA0000137"
"SAC1","LOCAL","1SA0000111","9","1SA5000192","8ONvoF","1515","UnderDelivery-NoPrepayment","OneToMany","2","124, 1388",", ","true","1SA0000138, 1SA0000139"
"SAC1","LOCAL","1SA0000111","10","1SA5000194","29TNYe","2133","UnderDelivery-NoPrepayment","OneToMany","3","195, 322, 1553",", , ","true","1SA0000140, 1SA0000141, 1SA0000142"
"SAC1","LOCAL","1SA0000111","11","1SA5000196","HnmkoS","1861","OverDelivery-NoPrepayment","OneToOne",,"2255",,"true","1SA0000143"
"SAC1","LOCAL","1SA0000111","12","1SA5000198","MQWjBk","1507","UnderDelivery-NoPrepayment","OneToOne",,"1052",,"true","1SA0000144"
"SAC1","LOCAL","1SA0000111","13","1SA5000200","ZoHkCW","728","OverDelivery-DiffPrepayment","OneToOne",,"1107","CeDRZMK","true","1SA0000145"
"SAC1","LOCAL","1SA0000111","14","1SA5000202","8yKsD6","730","UnderDelivery-Happy","OneToMany","2","5, 647","8yKsD6, 8yKsD6","true","1SA0000146, 1SA0000147"
"SAC1","LOCAL","1SA0000111","15","1SA5000204","PWlZSx","1785","UnderDelivery-DiffPrepayment","OneToOne",,"1769","UmYDY79","true","1SA0000148"
"SAC1","LOCAL","1SA0000111","16","1SA5000206","2qNCKR","1024","UnderDelivery-DiffPrepayment","OneToMany","2","95, 554","8jSQm9n, EXOXhe2","true","1SA0000149, 1SA0000150"
"SAC1","LOCAL","1SA0000111","17","1SA5000208","Izbtj9","1733","OverDelivery-NoPrepayment","OneToOne",,"2535",,"true","1SA0000151"
